Class,MAVE,Correct Answer,Flan - MAVE,Flan-Points,,BIG - MAVE,BIG - Points,,Alpaca - MAVE,Alpaca - Points,,Cohere - MAVE,Cohere - Points,,GPT - MAVE,Points,
,Watch Movement,Quartz,Quartz,1,,None,0,,Quartz,1,,Casio,"0,5",,Quartz,1,
,Mechanical Movement,Quartz,Quartz Movement,1,,None,1,,No Mechanical Movement,0,,Mechanical Movement,1,,Quartz,1,
,Style,Casio/Womens,Casio Women's LTPV002G-7B Gold Stainless-Steel Quartz Watch,"0,5",,watch,"0,5",,Casual,1,,The text is describing a Casio Women's,1,,Gold Stainless-Steel,"0,5",
Java Modeling In Color With UML: Enterprise Components and Process,Fiction Form,Non-Fiction,Java Modeling In Color With UML: Enterprise Components and Process,0,"0,4",None,"0,5","0,5",None,"0,5","0,7",None,"0,5","0,5",None,"0,5","0,9"
,Reference Type,None,None,1,,None,1,,Book,1,,None,1,,None,1,
,Type,Book,Java Modeling In Color With UML: Enterprise Components and Process,0,,None,0,,None,0,,Copyright,0,,Book,1,
,Format,1st edition/None,None,1,,None,1,,Hardcover.,1,,Dimensions: 7 X 9-1/4,0,,None,1,
,Page Count,221,None,0,,None,0,,221,1,,221,1,,"The value of the attribute ""Page Count"" is 221.",1,
HP LaserJet Pro MFP M426fdw Black and White Laser Printer,Type,Laser printer,Product Details,0,"0,3",None,0,"0,7",Printer,1,"0,7",LaserJet Pro MFP M426,1,"0,6",None,0,"0,7"
,Ink Type,Black/White/None,Ink Type: Laser,0,,None,1,,Laser,0,,Ink Type: black and white,1,,None,1,
,Use,Printing/copying/scanning saving time,Product Name is HP LaserJet Pro MFP M426fdw Black and White Laser Printer,0,,None,1,,None,1,,None,1,,None,1,
,Color Output,Black and White,Color,"0,5",,None,"0,5",,Black,"0,5",,HP LaserJet Pro MFP M426fd,0,,None,"0,5",
,Print Speed (Mono),40 pm,Print Speed (Mono): 40 black and white pages per minute,1,,40 black and white pages per minute,1,,40 pages per minute.,1,,None,0,,40,1,
Culebra Dining Armchair,Style,Dining Chair/ArmChair,Culebra Dining Armchair is of the general style 'Contemporary'.,1,"0,875",None,1,"0,5",Contemporary,1,"0,75",General Style: Contemporary,1,1,Contemporary,1,"0,75"
,Upholstery Material,"Wicker,Syntehtic,Thermoplastic Fiber","Wicker, Synthetic, Thermoplastic Fiber",1,,None,0,,"Wicker, Synthetic, Thermoplastic Fiber",1,,"Wicker,",1,,None,0,
,Type,Dining Chair/ArmChair,Details for Culebra Dining Armchair,"0,5",,None,0,,None,0,,Armchair,1,,Armchair,1,
,Cover Material,Cushion,"Wicker, Synthetic, Thermoplastic Fiber is the material of the Culebra Dining Armchair.",1,,"culebra dining armchair, wicker",1,,Wicker,1,,"Wicker, Synthetic",1,,"Wicker, Synthetic, Thermoplastic Fiber",1,
Robot Coupe J100 Ultra Juicer with Continuous Pulp Ejection - 120 V,Type,Juicer/Robot Coupe Juicer,Specifications,0,"0,6666666667",None,0,0,Appliance,1,1,None,0,"0,1666666667",Juicer,1,"0,6666666667"
,Power Type,1.25hp motor,"1000 watt, 1.25 hp motor",1,,None,0,,"1000 watt, 1.25 hp",1,,1000 watt,"0,5",,None,0,
,Power,120V/1000 watt,"1000 watt, 1.25 hp motor",1,,12.5 hp,0,,"1000 watts, 1.25 hp",1,,None,0,,1000 watt,1,
Offset Slugging Wrench 12 Point 36MM,Type,Offset Slugging Wrench/Wrench,Super Heavy Duty Metric Offset Slugging Wrenches 12 Point Black Oxide Finish,1,"0,2857142857",Metric,0,"0,4285714286",Offset Slugging Wrench 12 Point 36MM,1,"0,5714285714",Black Oxide Super Heavy Duty Metric Offset Sl,0,"0,4285714286",Black Oxide,0,"0,8571428571"
,Power Type,None,Black Oxide Super Heavy Duty Metric Offset Slugging Wrenches 12 Point Black Oxide Finish,0,,"Fits 4, 6, and 12 point fasteners",0,,None,1,,Black Oxide Super Heavy Duty Metric Offset Sl,0,,None,1,
,Voltage,None,Voltage is 120,0,,5.5Lb,0,,None,1,,"12 Point Black Oxide Finish, Fits",0,,None,1,
,Chuck / Drive Size,None,None,1,,None,1,,36MM,0,,None,1,,None,1,
,Maximum Speed,None,Maximum Speed is 12 Point Box End Allows for Fine Indexing,0,,None,1,,None,1,,None,1,,None,1,
,Maximum Torque,None,Maximum Torque is 352Nm,0,,"Maximum torque is 1,500Nm",0,,Maximum Torque is 900Nm,0,,36MM,0,,None,1,
,Weight,None,Weighs,0,,None,1,,Weight: 86 grams,0,,None,1,,None,1,
Milliken Pastiche Kashmiran Marquette Ebony Area Rug,Type,Rug/Area Rug,Milliken Pastiche Kashmiran Marquette Ebony Area Rug,"0,5","0,125",None,0,"0,25",The type of this rug is an area rug.,1,"0,25",None,0,"0,25",Type: Area Rug,1,"0,75"
,Shape,None,Milliken Pastiche Kashmiran Marquette Ebony Area Rug is in the Pastiche Kashmiran Collection.,0,,Border: Yes,0,,The shape of the rug is rectangular.,0,,None,1,,"The value of the attribute ""Shape"" is not mentioned in the given text.","0,5",
,Area Rug Size,"2'1"" x 7'8"" / 10'9"" x 13'2""",KC2114,0,,"Rug Size 10'9"" x 13'2""",1,,None,0,,None,0,,"Rug Size 10'9"" x 13'2""",1,
,Construction,100% Nylon fibers,The construction of Milliken Pastiche Kashmiran Marquette Ebony Area Rug is made of 100% Nylon fibers.,0,,None,0,,None,0,,Milliken Pastiche Kashmiran Marquette Ebony,0,,Construction: Machine Made,"0,5",
Intel Core i5-4300U 2.9GHz 4GB,Clock Speed,2.9GHz,2.9GHz,1,"0,9",No,0,"0,2",None,0,"0,5","Brand: Microsoft, Compatible CPU Brand: Intel",0,"0,8",2.9GHz,1,1
,TDP,None,None,1,,None,1,,290W,0,,None,1,,None,1,
,Number of Cores,4,Number of Cores: 4,"0,5",,X896664-001,0,,Intel Core i5-4300U 2.9GHz 4GB,"0,5",,4,1,,4,1,
,Socket Type,BGA1168,BGA1168,1,,None,0,,BGA1168,1,,Socket Type: BGA1168,1,,BGA1168,1,
,FSB Speed,None,None,1,,X896664-001,0,,2.9GHz,1,,None,1,,None,1,
GXW Wireless 12 MP Scouting Camera,Location,None/outdoors,None,1,"0,6666666667",Stealth Camera,0,"0,3333333333",Location: GXW Wireless 12 MP Scouting Camera,0,"0,3333333333",None,1,"0,6666666667",None,1,"0,3333333333"
,Field of View,"12.0 Megapixel- 4 resolutions; 12.0MP, 8.0MP, 4.0MP, 2.0MP/ None","12 megapixel- 4 resolutions; 12.0MP, 8.0MP, 4.0MP and 2.0MP",1,,4.0MP,1,,Field of View: 12 MP,1,,None,1,,45 'BLACK' IR emitters with a 100 ft. range,0,
,Screen Size,2.0inch,None,0,,None,0,,"15.6""",0,,156in 1920 x 1080,0,,15.6in,0,
"Dell Latitude E6540 Core i5-4310 2.7GHz 16GB 256GB SSD DVD HD8790M n BT 9C 15.6"" FHD W7P64",Processor Brand,Intel,Processor Brand is Intel,1,"0,2857142857",Dell,0,"0,2857142857",Intel Core i5-4310M.,1,"0,5714285714",Intel,1,"0,2857142857",Intel,1,"0,7142857143"
,Number of Cores,None,2.7GHz Cores,0,,None,1,,Intel Core i5 4310M,0,,6,0,,2.,0,
,Processor Speed,2.7GHz,2.7GHz,1,,None,0,,2.7GHz,1,,27GHz,"0,5",,2.7GHz,1,
,Resolution,15.6in 1920 x 1080 Display,"Dell Latitude E6540 Core i5-4310 2.7GHz 16GB 256GB SSD DVD HD8790M n BT 9C 15.6"" FHD W7P64",0,,None,0,,None,0,,The attribute is Resolution and its value is 1920,"0,5",,1920 x 1080,1,
,Battery Life,None,Battery Life is 8 hours,0,,None,1,,Yes,1,,Dell Latitude E6540 Core i5,0,,None,1,
,Refresh Rate,None,Refresh Rate: 2.7GHz,0,,560 Hz,0,,2.7GHz,0,,The refresh rate of the Dell Latitude E65,0,,None,0,
,Weight,5.600lb(s),None,0,,None,0,,5.600lb,1,,27GHz Intel Core i5 43,0,,5.600lb(s),1,
Electro-Voice RE90H Cardioid Pattern Hanging Microphone,Type,Hanging Microphone,Microphone,1,1,Re 90H,0,"0,3333333333",Microphone,1,1,None,0,"0,3333333333",Cardioid Pattern,0,"0,3333333333"
,Use,"Ideal for choir, instrumental and vocal groups, and live theater",Electro-Voice RE90H Cardioid Pattern Hanging Microphone is compact,1,,condenser microphone,1,,"choir, instrumental and vocal groups, and live theater.",1,,None,0,,Cardioid,0,
,Diaphragm Size,None,None,1,,"50mm (1.5"")",0,,None,1,,None,1,,None,1,
Laser Cut Leather Skirt,Length,None,Length: 3,0,"0,4",None,1,"0,2",132 characters,0,"0,5",Laser Cut Leather,0,"0,4",None,1,"0,8"
,Type,Leather Skirt,description,0,,_gamoto_products_detail_photo_2. jpg,0,,Laser Cut Leather Skirt,1,,attribute,0,,None,0,
,Pattern,None,None,1,,"lace, leather, pattern",0,,Pattern: Laser Cut Leather Skirt,0,,None,1,,None,1,
,Dance Style,None,Laser Cut Leather Skirt is the dance style of the website.,0,,FERRAGAMO.COM,0,,None,1,,None,1,,None,1,
,Specialty Style,None,Laser Cut Leather Skirt is a Specialty Style,1,,can be worn with a blazer or a t-shirt,0,,Laser Cut Leather Skirt,"0,5",,Specialty Style,0,,None,1,
Americans: Season 1 [Blu-ray] [2013] [US Import],Type,Blue-ray,Region: A,0,0,None,0,0,Blu-ray,1,"0,5",Region,0,0,None,0,"0,5"
,MPAA Rating,None,Americans: Season 1 [Blu-ray] [2013] [US Import],0,,Americans: Season 1 [Blu-ray],0,,G,0,,NR,0,,None,1,
Khushali Presents Embroidered Cotton Unstitched Dress Material_yellow - (code -mdkz21007),Pattern,None,None,1,"0,625",add to cart,0,"0,3125",Embroidered Cotton Unstitched Dress,0,"0,75",Brand Khushali Fashion Top Fabric,0,"0,4375",None,1,"0,75"
,Length,2.20m/2.10m,None,0,,Khushali presents embroidered cotton unstitched dress material_yellow,0,,2.20 m,1,,220,"0,5",,2.20 m,1,
,Sleeve Style,None,Sleeveless,0,,None,1,,Sleeveless,0,,Not Applicable,"0,5",,None,1,
,Neckline,None,None,1,,"top, color, duptta",0,,None,1,,Not Applicated,"0,5",,None,1,
,Age Group,Adult/Grownup/None,Age Group: Adult,1,,2,0,,Age Group: Women,1,,Not applicable,0,,None,0,
,Shoulder Style,None,None,1,,Embroidered Cotton Unstitched Dress Material_Yellow,0,,None,1,,None,1,,None,1,
,Type,None/Unstiched Dress,Product,1,,None,1,,Type: Clothing,1,,None,1,,Cotton,0,
,Dance Style,None,Dance Style is Western,0,,Bollywood,"0,5",,None,1,,Yellow Cotton Embroidered Unstitched Dress,0,,None,1,
Crane EE-8619 humidifier,Type,Humidifier,None,"0,5","0,8333333333",None,"0,5","0,8333333333",Product,"0,5","0,8333333333",The attribute Type is extract,0,"0,3333333333",None,"0,5","0,8333333333"
,Mist Temperature,None,None,1,,None,1,,None,1,,None,1,,None,1,
,Filter Type,None,Humidifier,1,,Humidifier,1,,None,1,,The attribute Filter Type is part of the test,0,,None,1,
Griffin TurnFolio Carrying Case (Folio) for iPad Air - Nickel Item # 376825,Compatibility,Ipad Air,compatibility is iPad Air,1,"0,75",TurnFolio Carrying Case (Folio) for iPad Air - Nickel,1,"0,75",iPad Air,1,"0,75",iPad Air,1,"0,75",None,0,"0,25"
,Style,None,Griffin TurnFolio Carrying Case (Folio) for iPad Air - Nickel,"0,5",,TurnFolio Carrying Case (Folio) for iPad Air - Nickel,"0,5",,Folio.,"0,5",,the name: Griffin TurnFolio Car,"0,5",,Workstand,"0,5",
American Heritage Billiards Designer Vintage Oak Bar Stool with Black Leatherette Cushion,Type,Bar Stool,Name: American Heritage Billiards Designer Vintage Oak Bar Stool,"0,5","0,5","bar stool, leatherette cushion",1,1,None,0,0,Bar Stool,1,1,None,0,0
Samsung HT-H7750 W7.1Ch Blu-ray Home Entertainment System,Type,Blue-ray/Home Entertainment System/None,None,1,1,No,0,0,None,1,1,None,1,1,7.1Ch,0,0
Trans Globe Lighting New Century Eight-Light Black Chandelier,Finish,None/Black,Trans Globe Lighting New Century Eight-Light Black Chandelier finish is Black,0,"0,5","finish, chandelier",0,"0,5",None,1,1,"Attribute: Finish, Name: Trans Globe Lighting",0,0,None,1,"0,5"
,Number of Lights,8/eight,Number of Lights: Eight,1,,Eight-light black chandelier,1,,Eight,1,,Trans,0,,None,0,
WOMEN Cotton Stretch Jogger Pants,Pattern,None,WOMEN Cotton Stretch Jogger Pants,0,"0,5714285714",None,1,"0,5",Ribbed cuffs,0,"0,2857142857",Ribbed cuffs & Large side,0,"0,4285714286",None,1,"0,7142857143"
,Fit,Stretch/Casual/Femine,Fit is Casual,1,,None,0,,Slim,0,,The attribute Fit of this text is Ribbed,0,,None,0,
,Rise,None,None,1,,JOGGERS,"0,5",,20.25 inches,0,,Ribbed cuffs,0,,None,1,
,Length,None,Length of WOMEN Cotton Stretch Jogger Pants is Casual,0,,None,1,,67.4 cm.,0,,None,1,,None,1,
,Leg Style,Casual,Leg Style is Sweatpants,1,,JOGGERS,1,,Relaxed.,1,,None,0,,None,0,
,Style,Casual,"Style is Casual, Feminine",1,,jean,0,,"Casual, feminine",1,,The style of these joggers is casual,1,,"casual, feminine",1,
,Hockey Pant Type,None,Jogger,0,,joggers,0,,Jogger,0,,None,1,,None,1,
Vida It (Black) Bluetooth Headset For Lg - S310 - P520 - Axis - Cosmos Touch Vn270 Cell Phone - Noise Cancellation - Connect 2 Phones - Volume Control,Style,Headset,Model is Vida IT BH99 LuK Hands Free Bluetooth V3.0 Headset with Support for 2 Phones With Bluetooth V3.0 you get faster transfer speeds for better voice quality! Connect to 2 Phones Simultaneously! With the Vida IT BH99 bluetooth headset you can have the freedom to take calls on the go from your mobile or bluetooth device.,0,"0,1666666667",Connect 2 phones at the same time,0,0,None,0,"0,3333333333",None,0,0,Bluetooth V3.0,"0,5","0,8333333333"
,Connectivity,Bluetooth,Connectivity is Bluetooth V3.0 +EDR Class 2 compliantUp to 5 Hours of Talk Time70mAh Li-Polymer BatteryCharging time 1.5 HoursStandby Time: Up to 115 hours - 3 Button Design - Volume ControlConnect 2 phones at the same time - Range 10M - Weight 9 Grams,"0,5",,Connect 2 phones at the same time,0,,None,0,,None,0,,Bluetooth V3.0 +EDR class 2,1,
,Wireless Type,Wireless,Vida IT BH99 LuK Hands Free Bluetooth V3.0 Headset with Support for 2 Phones With Bluetooth V3.0 - Wireless Type: Bluetooth V3.0 +EDR Class 2 compliantUp to 5 Hours of Talk Time70mAh Li-Polymer Battery - Standby time 115 HoursCharging time 1.5 HoursStandby Time: Up to 115 hours - 3 Button Design - Volume ControlConnect 2 phones at the same time - Range 10M - Weight 9 Grams,0,,Connect 2 phones at the same time,0,,Bluetooth V3.0 +EDR Class 2 compliant,1,,Black,0,,Bluetooth V3.0 +EDR,1,
Vida It (Black) Bluetooth Headset For Lg - S310 - P520 - Axis - Cosmos Touch Vn270 Cell Phone - Noise Cancellation - Connect 2 Phones - Volume Control,Capacity,16,Capacity: 16,1,"0,5",aaa,0,0,16 batteries,1,1,The attribute is Capacity and the value is AAA,0,0,16,1,"0,5"
,Type,aaa,"Warnings: Keep batteries away from children. If swallowed, consult a physician at once. For information on treatment, call 202-625-3333 collect. May explode or leak, and cause burn injury, if recharged, disposed of in fire, mixed with a different battery type, inserted backwards or disassembled",0,,count,0,,Duracell Coppertop Batteries,1,,None,0,,None,0,
"33"" Hammered Copper Kitchen Apron Single Basin Sink with Scroll",Type,Basin Sink,Type: Product,"0,5","0,8333333333",None,0,0,Sink.,1,1,Type: Kitchen,0,"0,3333333333",None,0,"0,6666666667"
,Number of Bowls,None/1,Number of Bowls: Single,1,,3,0,,1,1,,1,1,,None,1,
,Material,Copper,Copper,1,,"Premier Copper 33"" Hammered Kitchen Roll Apron Single Basin Sink",0,,Copper,1,,"The attribute is ""Material"" The text describes",0,,Copper,1,
Replacement for FUJITSU Laptop Battery,Capacity,6/10.8 V 48 Wh Metallic Grey 4400 mAh 6 cell Li-ion,Capacity: 4400 mAh,1,1,4400 mAh,1,1,Capacity: 10.8 V 48 Wh Metallic Grey 4400 mAh 6 cell Li-ion,1,1,FMV-650MC8/W,0,0,None,0,0
Nespresso 5-Cup Espresso Maker in Sugar Pearl Silver and Aeroccino Milk Frother in Black,Drive Type,None,Nespresso,1,"0,875",Espresso maker with easy-loading Nespresso Grand Crus capsule system,1,"0,375",Electric.,1,"0,625",None,1,"0,625",None,1,"0,875"
,Automation,Yes,Automation is Yes,1,,None,0,,None,0,,Nespresso's one-touch espresso maker,1,,"15, 20, or 30 minutes",1,
,Pod Type,Espresso Cups,Pod Type: Nespresso Grand Crus,"0,5",,None,"0,5",,Nespresso Grand Crus,"0,5",,Nespresso 5-Cup Espresso Maker,"0,5",,Nespresso 5-Cup Espresso Maker,"0,5",
,Water Tank Size,1.3 Liter,1.3 liters,1,,None,0,,1.3 liters.,1,,None,0,,1.3 liters,1,
Bulbrite 25W A19 E26 Green Ceramic Bulb,Type,Ceramic Bulb,Bulbrite 25W A19 E26 Green Ceramic Bulb,1,1,Colored light bulbs with a transparent finish,1,1,Lamp,1,1,Vibrant ceramic colored light bulbs are great,0,0,Green,0,0
Seal Shield Silver Seal Medical Grade Keyboard,Type,Keyboard/None,Product Information for Seal Shield Silver Seal Medical Grade Keyboard,0,"0,3333333333",None,1,"0,6666666667",Keyboard.,1,1,None,1,1,Keyboard - wired,1,"0,8333333333"
,Number of Keys,104,104,1,,104,1,,104,1,,104,1,,104,1,
,Display,None,"Product Information for Seal Shield Silver Seal Medical Grade Keyboard, Display, manufacturer, warranty, and the name: Seal Shield Silver Seal Medical Grade Keyboard",0,,Lifetime warranty and USB plug,0,,None,1,,None,1,,"The value of the attribute ""Display"" is None.","0,5",
Compatible HP CE285A - (HP 85A) (Set of 2-Pack) Black Laser Toner Cartridge - 3200 Page Yield,Type,Cartridge,Product,"0,5","0,8333333333",None,0,"0,3333333333",None,0,"0,6666666667",Toner,1,"0,3333333333",laser toner cartridges,1,1
,Maximum Page Yield (Color),3200,Maximum Page Yield (Color): 3200,1,,2,0,,- Maximum Page Yield (Color): 3200,1,,Maximum Page Yield (Color),0,,3200,1,
,Maximum Page Yield (Black),3200,3200,1,,3200,1,,The Maximum Page Yield (Black) from this text is 3200.,1,,None,0,,3200 Page Yield,1,
Garden Patio Wooden Wood Frame Hammock Swing Sun Bed Lounger Canopy + 2 Pillows Cream,None,None,o,"0,5","0,5",o,"0,5","0,5",o,"0,5","0,5",o,"0,5","0,5",None,1,1
,,,,,,,,,,,,,,,,,
APC Door Lock Assembly,Lock Use,Home/Corporate/None,Use,0,0,assembly,0,0,None,1,1,None,1,1,None,1,1
Evedonsho Women Rubber Gray Rain Boot,Type,Rain Boots/Boots,Evedonsho Women Rubber Gray Rain Boot Heel Height: 1-1.75 inch Heel Circumference: 14 Women Shoe Type: Rain Boots Width: B(M) Shaft Height: 10 Heel Heel Circumference: 14 Country: China Shoe Type: Rain Boots,0,"0,03333333333",Size 39.,0,"0,7",None,0,"0,5666666667",Gender,0,"0,2333333333",Boots,1,"0,9"
,Silhouette,None,Evedonsho Women Rubber Gray Rain Boot,0,,None,1,,None,0,,Rain Boots,"0,5",,None,1,
,Athletic Shoe Style,None,"Evedonsho Women Rubber Gray Rain Boot has a shaft of 10, a 1-1.75 inch heel, a B(M) width, and a 1-1.75 inch heel.",0,,Style: Rain Boots,"0,5",,None,1,,Athletic Shoe Style,0,,Rain Boots,"0,5",
,Style,Rain Boot,Evedonsho Women Rubber Gray Rain Boot is a rain boot with a 1-1.75 inch heel. It is made of rubber and the shaft is 10 inches tall.,0,,None,0,,"Boots, Rain Boots.",1,,Style,0,,Rain Boots,1,
,Heel Height,1-1.75 inch,Evedonsho Women Rubber Gray Rain Boot has a 1 inch heel and a 14 in circumference.,0,,1-1.75 inch,1,,1-1.75 inch,1,,1,1,,1 inch or 1-1.75 inch,1,
,Heel Style,None,Evedonsho Women Rubber Gray Rain Boot has a shaft height of 10 and a heel style of 1-1.75 inch.,"0,5",,None,1,,Heel Style is Man-Made.,0,,Heel,1,,1 inch,0,
,Baby Department,None,Baby Department is Shoes,0,,None,1,,The shoe is not from the Baby Department.,"0,5",,Baby Department,0,,None,1,
,Shaft Height,10 inch,Evedonsho Women Rubber Gray Rain Boot is made of Rubber material.,0,,None,0,,10,1,,Rubber Out,0,,10,1,
,Boot Style,Rain Boot,Evedonsho Women Rubber Gray Rain Boot is manufactured in China.,0,,Style is rain boot,1,,Rain Boot,1,,co:,0,,Rain Boots,1,
,Toe Style,None,"Evedonsho Women Rubber Gray Rain Boot has a 1 inch heel, a 1 inch shaft and a B(M) width.",0,,None,1,,Pointed,0,,Round,0,,None,1,
,Dance Shoe Style,Rain Boot/Boot/None,Evedonsho Women Rubber Gray Rain Boot has a shaft height of 10 and a heel height of 1-1.75 in.,0,,None,1,,"The attribute extracted from the text is: ""Dance Shoe Style"".",0,,Dance Shoe Style,0,,None,1,
,Sandal Style,None,Evedonsho Women Rubber Gray Rain Boot is a rain boot.,0,,Size 10,0,,The sandal style is 'Sandal'.,0,,co:,0,,None,1,
,Pattern,None,Evedonsho Women Rubber Gray Rain Boot Shoe Type: Rain Boots Country: China Shoe Type: Boots Shoe Type 2: Rain Boots Heel Height: 1-1.75 inch Circumference: 14,0,,None,1,,None,1,,Rubber Out,0,,None,1,
,Toddler Department,Shoe’s/None,Evedonsho Women Rubber Gray Rain Boot is part of the Toddler department.,0,,None,1,,None,1,,Toddler Department,0,,None,1,
,Specialty Style,None,Evedonsho Women Rubber Gray Rain Boot is a rain boot and its manufacturer is Evedonsho from China. It has a 1-1.75 inch heel and the shaft height is 10.,0,,None,1,,Rain Boots,1,,None,1,,None,1,
Alexander Wang Women's Draped Bustier T-Shirt Dress - Onyx,Pattern,wrapped,Draped Bustier T-Shirt Dress - Onyx,"0,5","0,4375",Draped bustier T-shirt dress,"0,5","0,4375",Pattern: Draped Bustier T-Shirt Dress - Onyx,"0,5","0,625",Attribute Pattern: crafted from italian compact cotton,0,"0,25",None,0,"0,625"
,Length,8 UK/measures 35”/89cm length,None,0,,89cm,1,,"35""",1,,None,0,,"35""/89cm",1,
,Sleeve Style,cap,Cap sleeves,1,,Draped Bustier T-shirt dress,0,,Cap,1,,cap sleeves,1,,Cap,1,
,Neckline,crewneck,Crew neck,1,,Draped Bustier T-Shirt Dress,0,,neckline: relaxed crew,"0,5",,None,0,,Crew neck,1,
,Age Group,Adult/Grownup/None,Age Group: Women,1,,Alexander Wang Women's Fuschia Draped Bustier T-Shirt Dress,0,,Women,1,,Size UK 8 measures 35”/89,0,,None,0,
,Shoulder Style,None,Cap,0,,None,1,,Cap Sleeves,0,,None,1,,None,1,
,Type,T-shirt Dress/Dress,Alexander Wang Women's Draped Bustier T-Shirt Dress - Onyx,0,,Draped bustier T-shirt dress,1,,Dress,1,,Jersey,0,,None,0,
,Dance Style,None,Alexander Wang's women’s draped bustier T-shirt dress in onyx black showcases the designer’s urban styling.,0,,Dress,0,,"The dance style of the dress is ""Corset"".",0,,Dance Style Name: Alexander Wang,0,,None,1,
Details about Vintage GUCCI FLORA Canvas and leather Two-way Clutch Shoulder Bag Purse,Type,Clutch Shoulder Bag Purse,Condition,0,0,None,0,0,Product,1,1,shoulder bag or clutch,1,1,None,0,0
JBL Clip 2 Gray Portable Bluetooth Speaker - JBLCLIP2GRAY,Configuration,None,JBL Clip 2 Gray Portable Bluetooth Speaker - JBLCLIP2GRAY,0,"0,2142857143",JBL Clip 2 Gray Portable Bluetooth Speaker,0,"0,4285714286",None,1,"0,5714285714",None,1,"0,4285714286",Wireless Bluetooth Streaming/ Rechargeable Battery/ Up To 8 Hours Of Playtime/ Speakerphone/ Built-In Carabiner/ IPX7 Waterproof/ Wireless Daisy Chain/ Integrated 3.5mm Audio Cable/ Durable Fabric Material And Rugged Rubber Housing/ 3W Output Power/ Gray Finish,"0,5","0,8571428571"
,Use,Speaker/Music,None,0,,Bluetooth speaker,1,,None,0,,Wireless Bluetooth Streaming,1,,Speakerphone,1,
,Type,Bluetooth Speaker/Portable,None,0,,None,0,,Portable Bluetooth speaker.,1,,Speaker,1,,Bluetooth Speaker,1,
,Style,Portable,JBL Clip 2 Gray Portable Bluetooth Speaker,"0,5",,Portable Bluetooth speaker,1,,The style of the JBL Clip 2 Gray Portable Bluetooth Speaker is gray.,0,,JBL Clip,0,,Style: None,"0,5",
,Channels,None,Channels is Wireless Bluetooth Streaming/ Rechargeable Battery/ Up To 8 Hours Of Playtime/ Speakerphone/ Built-In Carabiner/ IPX7 Waterproof/ Wireless Daisy Chain/ Integrated 3.5mm Audio Cable/ Durable Fabric Material And Rugged Rubber Housing/ 3W Output Power/ Gray Finish,0,,JBL CLIP2GRAY,0,,None,1,,1 Year,0,,None,1,
,RMS Power Rating,3 Watt,3W Output Power,1,,3W,1,,None,0,,J,0,,3W,1,
