"Points start at - and gets 2 if in the right tree-branch for start, can get 1 if in wrong branch but kind of correct",,,,,,,,,,,,,,,,,,
MAE - Flan,,,,MAE - BIG,,,MEA - ALPACA,,,MAE - COHERE,,,MAE- GPT,,,,,
Details about Vintage GUCCI FLORA Canvas and leather Two-way Clutch Shoulder Bag Purse,Handbags/Shoulder Bags,5,,Storage/Haulage Aids,1,,Clothing Accessories,1,,Clothing Accessories,1,,Handbags/Shoulder Bags,5,Handbags/Shoulder Bags,,13,5
JBL Clip 2 Gray Portable Bluetooth Speaker - JBLCLIP2GRAY,Household/Office Furniture/Furnishings,0,,Music,1,,Music,1,,Music,1,,Audio Visual/Photography,2,Portable Speakers,,5,5
"Modern Sleep Universal Heavy-Duty Adjustable Metal Bed Frame with Double Rail Center Support Bar, Fits All Mattress Sizes",Household/Office Furniture/Furnishings,2,,Small Domestic Appliances,0,,Household Bed Frames/Bedsteads,5,,Major Cooking Appliances,0,,Household Bed Frames/Bedsteads,5,Household Bed Frames/Bedsteads,,12,5
Cedarvale Single Wall Sconce w/Copper Shade,Building Products,1,,Small Domestic Appliances,1,,Home Appliances,1,,Small Cooking/Heating Appliances,0,,Ornamental Furnishings,1,Lampshades,,4,5
Philips Avent Natural Feeding Bottle Single Pack 125ml,Baby Care,2,,Baby Feeding/Hygiene,3,,Baby Care,2,,Household Kitchen Merchandise,1,,Baby Feeding  Bottles,5,Baby Feeding Bottles,,13,5
7000 Force Helmet - Shiro,Personal Safety Devices,2,,Safety/Protection - DIY,3,,Personal Safety Devices,2,,Personal Safety/Security,2,,Sports Personal Protective Equipment,2,Helmets Non Powered,,11,5
Prism Glass Table - Rectangle,Ornamental Furnishings,3,,Small Domestic Appliances,1,,Household/Office Tables/Desks Other,4,,Small Domestic Appliances,0,,Household/Office Tables,5,Household/Office Tables,,13,5
Outdoor Life Men's Canvas Jacket,Jackets/Blazers/Cardigans/Waistcoats,5,,Protective Wear,3,,Clothing,2,,Sportswear,3,,Clothing,2,Jackets/Blazers/Cardigans/Waistcoats,,15,5
"Emtec C400 USB 2.0 Flash Drive, 32GB, Blue",Personal Accessories,1,,Small Domestic Appliances,0,,Computing,1,,Storage/Haulage Aids,1,,Storage/Haulage Containers,1,Memory Cards/USB/Flash Drives,,4,5
Qmobile Noir X600 With 16GB Internal Dual Sim Smartphone,Mobile Phones/Smartphones,5,,Medical Devices,0,,Computers/Video Games,1,,Personal Accessories,1,,Mobile Phones/Smartphones,5,Mobile Phones/Smartphones,,12,5
Moe's Home Collection Rita Blue Dining Chair,Household/Office Furniture/Furnishings,2,,Small Domestic Appliances,0,,Household/Office Furniture/Furnishings,2,,Small Cooking/Heating Appliances,0,,Household/Office Seating,4,Household/Office Chairs/Stools (Non Powered),,8,5
Silhouette Wine Cooler,Home Appliances,2,,Small Domestic Appliances,2,,Home Appliances,2,,Wine Chillers,5,,Small Domestic Appliances,2,Wine Chillers,,13,5
HP 490432-001 ProLiant DL160 G6 Server,Computer Networking Equipment,3,,Tools/Equipment - Power,1,,Computing,2,,Computing,2,,Computing,2,Servers,,10,5
,,126,,,44,,,95,,,86,,,136,,,,250
