,,,,,,,,,,,,,,,,,,,
Chosen Class,Correct Class,max points,MAVE - Flan,Score,NormL Flan,MAVE - BIG,Score,NormL BIG,MAVE - Alpaca,Score,NormL Alpaca,MAVE - COHERE,Score,NormL COHERE,MAVE - GPT,Score,NormL GPT,Score Per Product,
Nespresso 5-Cup Espresso Maker in Sugar Pearl Silver and Aeroccino Milk Frother in Black,Espresso Machines,6,Electric & Stovetop Espresso Pots,5,"0,8333333333",Aisle Runners,0,0,Electronics Accessories,1,"0,1666666667",Beverage Warmers,4,"0,6666666667",Espresso Machines,6,1,16,
Bulbrite 25W A19 E26 Green Ceramic Bulb,Light Bulbs,4,Lamp Shades,2,"0,5",Ring Pillows & Holders,0,0,Camera Batteries,1,"0,25",Climate Control Appliances,2,"0,5",Incandescent Light Bulbs,4,1,9,
Seal Shield Silver Seal Medical Grade Keyboard,Keyboards,6,Cabinet Knobs & Handles,1,"0,1666666667",Aisle Runners,0,0,Medicine & Drugs,0,0,Office Mats,1,"0,1666666667",Tablet Computers,2,"0,3333333333",4,
Compatible HP CE285A - (HP 85A) (Set of 2-Pack) Black Laser Toner Cartridge - 3200 Page Yield,Printers,4,Erasers,1,"0,25",Aisle Runners,0,0,Office Equipment,1,"0,25",Office Mats,1,"0,25",Office Shredders,1,"0,25",4,
Garden Patio Wooden Wood Frame Hammock Swing Sun Bed Lounger Canopy + 2 Pillows Cream,Outdoor Beds,4,Outdoor Furniture Covers,2,"0,5",Bathroom Furniture Sets,2,"0,5",Hammocks,2,"0,5",Hammocks,1,"0,25",Outdoor Umbrellas & Sunshades,1,"0,25",8,
APC Door Lock Assembly,Locks & Keys,3,Locks & Latches,3,1,Key Blanks,3,1,Locks & Latches,3,1,Locks & Latches,3,1,Locks & Latches,3,1,15,
Evedonsho Women Rubber Gray Rain Boot,Shoes,3,Shoes,3,1,Wedding Ceremony Supplies,0,0,Shoes,3,1,Shoes,3,1,Shoes,3,1,12,
Alexander Wang Women's Draped Bustier T-Shirt Dress - Onyx,Dresses,4,Bandanas & Headties,2,"0,5",Arm Warmers & Sleeves,2,"0,5",Baby & Toddler,0,0,Shirts & Tops,3,"0,75",Dresses,4,1,11,
Details about Vintage GUCCI FLORA Canvas and leather Two-way Clutch Shoulder Bag Purse,Luggage & Bags,2,Travel Pouches,2,1,Obis,0,0,Luggage Accessories,2,1,Wallets & Money Clips,1,"0,5",Luggage & Bags,2,1,7,
JBL Clip 2 Gray Portable Bluetooth Speaker - JBLCLIP2GRAY,Speakers,5,PDA Cases,2,"0,4",Door Stops,1,"0,2",Speaker Bags,3,"0,6",None,0,0,Speaker Stands & Mounts,3,"0,6",9,
"Modern Sleep Universal Heavy-Duty Adjustable Metal Bed Frame with Double Rail Center Support Bar, Fits All Mattress Sizes",Beds & Bed Frames,4,Beds & Bed Frames,4,1,Mattress Foundations,3,"0,75",Beds & Bed Frames,4,1,Beds & Bed Frames,4,1,Beds & Bed Frames,4,1,19,
Cedarvale Single Wall Sconce w/Copper Shade,Lamp Shades,4,Lamp Shades,4,1,Table Tops,1,"0,25",Fountains & Waterfalls,2,"0,5",Wall Light Fixtures,3,"0,75",Wall Light Fixtures,2,"0,5",12,
Philips Avent Natural Feeding Bottle Single Pack 125ml,Baby Bottles,4,Baby Bottles,4,1,Food Gift Baskets,1,"0,25",Baby Bottles,4,1,Baby Health & Grooming Kits,2,"0,5",Baby Bottles,4,1,15,
7000 Force Helmet - Shiro,Motorcycle Helmets,6,Sports Mouthguards,1,"0,1666666667",Brackets & Reinforcement Braces,1,"0,1666666667",Sports Mouthguards,1,"0,1666666667",Motorcycles & Scooters,2,"0,3333333333",Hats,1,"0,1666666667",6,
Prism Glass Table - Rectangle,Coffee Tables,5,Kitchen & Dining Room Tables,3,"0,6",Table Tops,2,"0,4",Kitchen & Dining Room Tables,3,"0,6",Activity Tables,3,"0,6",Kitchen & Dining Room Tables,3,"0,6",14,
Outdoor Life Men's Canvas Jacket,Coats & Jackets,5,Obis,2,"0,4",Aisle Runners,0,0,Baby & Toddler,0,0,Coats & Jackets,5,1,Coats & Jackets,5,1,12,
"Emtec C400 USB 2.0 Flash Drive, 32GB, Blue",USB Flash Drives,6,Computer Accessory Sets,3,"0,5",Ring Pillows & Holders,0,0,Computer Accessory Sets,3,"0,5",Storage Tanks,1,"0,1666666667",Tablet Computers,2,"0,3333333333",9,
Qmobile Noir X600 With 16GB Internal Dual Sim Smartphone,Mobile Phones,5,Data Collectors,2,"0,4",Hardware Tape,1,"0,2",Handheld Devices,3,"0,6",Televisions,2,"0,4",Electronics,2,"0,4",10,
Moe's Home Collection Rita Blue Dining Chair,Chairs,3,Kitchen & Dining Room Chairs,3,1,Table Legs,2,"0,6666666667",Baby & Toddler,0,0,Kitchen & Dining Room Chairs,3,1,Kitchen & Dining Room Chairs,3,1,11,
Silhouette Wine Cooler,Wine Fridges,5,Wine Aerators,3,"0,6",Dinnerware Sets,3,"0,6",Home Decor Decals,2,"0,4",Ventilation Fans,2,"0,4",Beverage Tubs & Chillers,3,"0,6",13,
HP 490432-001 ProLiant DL160 G6 Server,Computer Servers,4,Cabinet Catches,1,"0,25",Aisle Runners,0,0,Cabinet Hardware,1,"0,25",Electrical Motors,1,"0,25",Computer Servers,4,1,7,
,,220,0,116,"27,53333333",0,53,"12,83333333",0,104,"25,05",0,112,"26,68333333",0,153,"36,3",,50
